Universe: Persons,,,#,AGE,POP/YEAR,Cumulative #
,,,1069,0,1069,1069
,,,2562,2,1281,3631
,,,2179,4,1089.5,5810
,,,1395,5,1395,7205
,,,1103,6,1103,8308
,,,3441,9,1147,11749
,,,2280,11,1140,14029
,,,1893,13,946.5,15922
,,,1126,14,1126,17048
,,,1180,15,1180,18228
,,,979,16,979,19207
,,,980,17,980,20187
,,,852,18,852,21039
,,,908,19,908,21947
,,,746,20,746,22693
,,,585,21,585,23278
,,,3695,24,1231.6666666666667,26973
,,,8221,29,1644.2,35194
,,,7735,34,1547,42929
,,,7214,39,1442.8,50143
,,,8251,44,1650.2,58394
,,,6633,49,1326.6,65027
,,,3645,54,729,68672
,,,2285,59,457,70957
,,,725,61,362.5,71682
,,,812,64,270.6666666666667,72494
,,,1160,69,232,73654
,,,825,74,165,74479
,,,568,79,113.6,75047
,,,486,84,97.2,75533
,,,350,85,350,75883
