AGGREGATE VALUE,,,,,,,,,,,
Universe: Specified owner-occupied housing units,,,,,,,,Homeowners,,Renters,
Total,2704068500,,,,,,Race,Number,Home Value,Number,Monthly Rent
RACE OF HOUSEHOLDER,,,,,,,White,13351,167049.88390382743,6650,686.1673684210526
Universe: Specified owner-occupied housing units,,AGGREGATE VALUE BY RACE OF HOUSEHOLDER,,,,,Black,2179,163144.79118861863,2498,597.5732586068855
White,13351,2230283000,167049.88390382743,,,,"American Indian, Eskimo, or Aleut",27,159907.40740740742,28,653.1071428571429
Black,2179,355492500,163144.79118861863,,,,Asian or Pacific Islander,616,176372.56493506493,332,644.1957831325301
"American Indian, Eskimo, or Aleut",27,4317500,159907.40740740742,,,,Other race,36,148055.55555555556,84,635.8452380952381
Asian or Pacific Islander,616,108645500,176372.56493506493,,,,,,,,
Other race,36,5330000,148055.55555555556,,,,,,,,
AGGREGATE VALUE BY RACE OF HOUSEHOLDER,,,,,,,,,,,
Universe: Specified owner-occupied housing units,,,,,,,,,,,
Total,,,,,,,,,,,
White,2230283000,,,,,,,,,,
Black,355492500,,,,,,,,,,
"American Indian, Eskimo, or Aleut",4317500,,,,,,,,,,
Asian or Pacific Islander,108645500,,,,,,,,,,
Other race,5330000,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
AGGREGATE CONTRACT RENT,,,,,,,,,,,
Universe: Specified renter-occupied housing units paying cash rent,,,,,,,,,,,
Total,6341322,,,,,,,,,,
RACE OF HOUSEHOLDER,,,,,,,,,,,
Universe: Specified renter-occupied housing units paying cash rent,,AGGREGATE CONTRACT RENT BY RACE OF HOUSEHOLDER,,,,,,,,,
White,6650,4563013,686.1673684210526,,,,,,,,
Black,2498,1492738,597.5732586068855,,,,,,,,
"American Indian, Eskimo, or Aleut",28,18287,653.1071428571429,,,,,,,,
Asian or Pacific Islander,332,213873,644.1957831325301,,,,,,,,
Other race,84,53411,635.8452380952381,,,,,,,,
AGGREGATE CONTRACT RENT BY RACE OF HOUSEHOLDER,,,,,,,,,,,
Universe: Specified renter-occupied housing units paying cash rent,,,,,,,,,,,
Total,,,,,,,,,,,
White,4563013,,,,,,,,,,
Black,1492738,,,,,,,,,,
"American Indian, Eskimo, or Aleut",18287,,,,,,,,,,
Asian or Pacific Islander,213873,,,,,,,,,,
Other race,53411,,,,,,,,,,
,,,,,,,,,,,
White $686,,,,,,,,,,,
