,Year,Capacity,Enrollment,Enroll/Capacity,White,African-American,Asian,Hispanic,Other,FreeLunch,Limited English,SpecialEd,SchoolBuses,Entrants,Withdrawls,Computers,Computers/Student,SAT
Year,1,,,,,,,,,,,,,,,,,
Capacity,0.6811865761413325,1,,,,,,,,,,,,,,,,
Enrollment,0.8861568409935656,0.8794302704769951,1,,,,,,,,,,,,,,,
Enroll/Capacity,0.9000149871751939,0.6435995617365619,0.9303346625150456,1,,,,,,,,,,,,,,
White,-0.0013838911145463131,0.4296810609283381,0.43126359135906067,0.3623820353957141,1,,,,,,,,,,,,,
African-American,-0.2116879988771333,-0.5052031350241821,-0.5787904807843857,-0.5413983120399786,-0.9603758632438734,1,,,,,,,,,,,,
Asian,0.7827843115803809,0.49158005312436853,0.7660176877758718,0.8529188345972865,0.34362453639575363,-0.5889221662267117,1,,,,,,,,,,,
Hispanic,0.05526662670234427,-0.38418803524911005,-0.37286323268584304,-0.30353122566170093,-0.8701692563763606,0.7416238919971028,-0.03458685809495791,1,,,,,,,,,,
Other,-0.15020040089096032,0.08574929257127088,-0.1132177465658058,-0.24809031353419028,-0.2606141424150403,0.45359437853483814,-0.6987119716139988,-0.21198652743778174,1,,,,,,,,,
FreeLunch,0.04703347438419741,-0.542107471871995,-0.4145224623002709,-0.2488569208226348,-0.9616419212694904,0.8910137541310972,-0.21115305926199054,0.8568685386276091,0.11313297718726685,1,,,,,,,,
Limited English,0.6682922888477265,0.22297064625396115,0.30506146684170227,0.31871388822463714,-0.6194242198311439,0.3939120563897113,0.4578859084680633,0.7683035596376311,-0.24036037369686616,0.6072828945033821,1,,,,,,,
SpecialEd,-0.19669406512653884,-0.7252773732564862,-0.6281512637139852,-0.45122521606059707,-0.8996352249580987,0.8471495581416026,-0.2797821866486787,0.8873673757946232,-0.057094314980049174,0.9476505214612867,0.47971830256660564,1,,,,,,
SchoolBuses,0.7481899646082508,0.82915619758885,0.9265479457064042,0.8509666944429363,0.613159660210512,-0.7765561548386486,0.8623532380226141,-0.3878023014372141,-0.4136701519960017,-0.5824192376595981,0.22089258930404407,-0.6894972044446995,1,,,,,
Entrants,-0.32505062437146487,-0.6458378121185485,-0.6018960223838807,-0.47020863959015863,-0.48038522358408303,0.38456041123888896,-0.006751333935814452,0.7809198046500575,-0.598961535022525,0.5404207670194047,0.35655472565522284,0.7550917242902792,-0.4031888089782825,1,,,,
Withdrawls,-0.5892785519251705,-0.7817330844866343,-0.7688419016061684,-0.6339380148000694,-0.3299602814931505,0.3102571851624395,-0.19501118858615016,0.5858846757005957,-0.5280669657319781,0.39395622919186307,0.04059250626885284,0.6641646695959075,-0.5373231184585359,0.947302280189608,1,,,
Computers,0.6719745308526677,0.8302495312768696,0.827328849893446,0.6905989285087891,0.30734818433677996,-0.3183605666935743,0.28350364898899494,-0.5233314700985078,0.4585225514020186,-0.36993833506294604,0.061512921936796604,-0.646735130669617,0.6043200421835688,-0.9063770129134375,-0.9931227886542322,1,,
Computers/Student,0.19711986950697816,0.5319022601067109,0.3687034063930425,0.18305022326662632,0.11926301805985816,0.016924151341540107,-0.30849256126778274,-0.5155754647120825,0.8639208872180799,-0.2574161952889148,-0.22692225387762524,-0.4889191598915237,0.09389625234326672,-0.901590014976789,-0.8712978329871482,0.8245332619025242,1,
SAT,0.1678759870574543,-0.02953980956336956,0.27939564044004706,0.47197147485656377,0.35275494694040377,-0.298413564049811,0.09922807122204028,-0.6315876951810128,0.2533017772748483,-0.19013918175288866,-0.45127005736271886,-0.3191439248990126,0.11578564010029425,-0.6026688532948528,-0.4925568245025134,0.43508298822982433,0.38433050652690687,1
