package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,Universe: Persons,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,column_2,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,column_3,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,#,,numeric,31,1069 | 2562 | 2179 | 1395 | 1103,350,8251,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,AGE,,numeric,31,0 | 2 | 4 | 5 | 6,0,85,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,POP/YEAR,,numeric,31,1069 | 1281 | 1089.5 | 1395 | 1103,97.2,1650.2,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/AgeMix_Sheet1.csv,,Cumulative #,,numeric,31,1069 | 3631 | 5810 | 7205 | 8308,1069,75883,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 32 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,AGGREGATE VALUE,,text,36,Universe: Specified owner-occupied housing units | Total | RACE OF HOUSEHOLDER | White | Black,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_2,,numeric,22,2704068500 | 13351 | 2179 | 27 | 616,27,2704068500,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_3,,mixed_numeric_text,12,AGGREGATE VALUE BY RACE OF HOUSEHOLDER | 2230283000 | 355492500 | 4317500 | 108645500,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_4,,numeric,10,167049.88390382743 | 163144.79118861863 | 159907.40740740742 | 176372.56493506493 | 148055.55555555556,597.573258607,176372.564935,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_5,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_6,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_7,,empty,0,,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_8,,text,6,"Race | White | Black | American Indian, Eskimo, or Aleut | Asian or Pacific Islander",,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_9,,mixed_numeric_text,7,Homeowners | Number | 13351 | 2179 | 27,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_10,,mixed_numeric_text,6,Home Value | 167049.88390382743 | 163144.79118861863 | 159907.40740740742 | 176372.56493506493,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_11,,mixed_numeric_text,7,Renters | Number | 6650 | 2498 | 28,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
paper-2003-01,The Next America Revisited,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2003-01-the-next-america-revisited,data/modernized/census/Race_Race_txt.csv,,column_12,,mixed_numeric_text,6,Monthly Rent | 686.1673684210526 | 597.5732586068855 | 653.1071428571429 | 644.1957831325301,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 40 rows."
